店舗名,写真のURL,郵便番号,所在地（市から最後まで）,営業時間,定休日,電話番号,ファックス,URL,クポーンの有無,コメント,緯度,経度,,ジャンル
B-WORLD,img/tenposyosai/B-WORLD.jpg,〒426-0033,静岡県藤枝市小石川町1-7-34,[平日]10：00～20：00[土]9：00～19：00[日祝]9：00～18：00,無,054-639-7728,,https://www.happy-anda.com/salon/b-world,,静岡県下最大級の複合型サロン”Ｂ－ＷＯＲＬＤ”（ビーワールド）は美容室・ネイル・カフェ・ビューティーストア・カルチャースクールの５つのトータルビューティースペースです。髪型だけでなくキレイ＋αを追求する全ての方々に向けビューティーを提供し、お客様の描く理想のキレイをサポート致します。,34.853099,138.2555643,,その他
Calme et compose,img/tenposyosai/calme.jpg,〒426-0062,藤枝市高岡2丁目高岡２丁目3-1,10:00～20:00,不定休,054-634-0074,,https://beauty.hotpepper.jp/kr/slnH000390194/,,高機能エイジング化粧品を使用したエイジングケアエステ?見た目の美しさだけでなく心の癒しも重要視した落ち着くサロンです。,34.839036,138.256192,,その他
Cheese Pige,img/tenposyosai/cheespige.jpg,〒425-0036,焼津市西小川２丁目4-9,10:00～19:00,月曜日（月曜祝日の場合、火曜休み）,054-639-5518,,http://cheesepige.jp/,,,34.859619,138.310407,,飲食
居酒屋　Go-Bowごぼう,img/tenposyosai/gobow.jpg,〒426-0034,藤枝市駅前2-7-25,18:00～25:00(L.O. 24:00),火曜日,054-645-1539,,http://shizuoka.j47.jp/go-bow/,,みんなで楽しくワイワイと、美味しい時間を当店で！駿河湾のお刺身や元祖･トマト巻､GO-BOW巻など。大小宴会､誕生会､歓送迎会､結婚式２次会などにもご利用ください。,34.851465,138.251264,,飲食
GreenVillage,img/tenposyosai/GreenVillage.jpg,〒426-0034,藤枝市駅前2丁目6-8,Flower 10:00～19:00  Caf? 10:00～19:00  Lunch 11:00～Lo.14:00,Flower 水曜日・日曜日・祝日  Caf?　水曜日,054-631-7139,,http://greenvillage.jp/,有,,34.8522188,138.2484653,,飲食、その他
James English House,img/tenposyosai/JamesEnglishHouse.jpg,〒426-0018,藤枝市本町1-4-29,9：30～22:00,日曜日,054-639-1181,,http://jamesenglishhouse_eshizuoka.jp,,4歳からお年寄りまで通う英語教室。講師は、アメリカニューヨーク州出身、ニューヨーク州立大卒のジェイムズ カーコスキー！！聞ける！話せる！楽しい！英会話です！！,34.940554,138.2098873,,その他
KANNA,img/tenposyosai/KANNA.jpg,〒426-0038,藤枝市東町１５-７,,,054-639-5705,054-644-6531,,,驚きと寛ぎの空間を演出したKANNA FLOWER STUDIOで、花のある生活の提案をコンセプトに多くの人々に美しいと感じてもらえる花贈りを提供しています。,34.857759,138.261356,,その他
Matsuge　Salon　julio,img/tenposyosai/juliokyousan.jpg,〒426-0034,藤枝市駅前2丁目8-9,10：00～21：00,,054-639-5499,,http://www.matsugesalonjulio.com,,より自然により美しく30代～40代の大人女性のための完全個室プライベートサロン　無料パーキング完備　アップワードラッシュ/藤枝初眉エクステ導入店,34.8516728,138.2493584,,
Nanomic&Co. 株式会社ナノミック,img/tenposyosai/nanomic.png,〒426-0205,静岡県藤枝市花倉799-1,,,054-638-3250,054-638-2064,http://www.nanomic.jp/pc/,,自動車ブレーキ部品や自動車電装品、時計をはじめとしたミクロン制度での加工技術による精密換物部品を制作しております。,34.905288,138.232309,,その他
Nanomic Cars 株式会社ナノミック,img/tenposyosai/nanomiccar.png,〒426-0205,静岡県藤枝市花倉799-1,,,054-638-3265,054-638-3265,http://nanomic-cars.com,,国産車から外国車、クラッシック車から新車まで幅広い車種を安価で販売、整備しております。お客様が求めるお車お探し致します。,34.905288,138.232309,,その他
