店舗名,郵便番号,所在地（市から最後まで）,営業時間,定休日,電話番号,ファックス,URL,クーポン有無,コメント,写真のURL,緯度,経度
（有）村田石材工業,〒428-0007,島田市島146-9,,,0547-46-3272,0547-45-5918,http://murata-sekizai.jp/,,全国優良石材店認定店　　担当　村田共績（携帯　090-1722-9183）,muratasekizai.png,34.839221,138.133923
㈱オーケイコーポレーション,〒425-0064,焼津市三和957-1,,,054-639-6667,054-639-6687,"
http://okcorporation.co.jp/",無,,okeikk.png,34.828362,138.301704
and A,〒426-0033,藤枝市小石川1-7-34,,,054-639-7728,,,無,きれいな髪や肌は健康な体が作り出し、健康な体は美しさに磨きをかける,and A.png,34.853113,138.257743
ドンキホーテ　藤枝店,〒426-0074,藤枝市上210-95,ＡＭ10：00～翌ＡＭ5：00,年中無休,054-645-611,,http://www.donki.com/store/shop_detail.php?shop_id=400,無,"食料品・日用消耗品・家庭雑貨から・おもちゃ・衣料品家電・ブランド品まで販売し
ている総合ディスカウントストアです。他店には負けない圧倒価格で商品をご提供し
ています！お買い物をしているとまさにジャングルに入って宝探しをしているような
感覚になってしまいます。宝探しをしたい方は是非ドン・キホーテ藤枝店へ♪♪。",,34.856573,138.242659
chees pige,〒425-0036,焼津市西小川２丁目4-9,10:00～19:00,月曜日（月曜祝日の場合、火曜休み）,054-639-5518,,http://cheesepige.jp/,無,,chees pige.jpg,34.859619,138.310407
KANNA,〒426-0038,藤枝市東町１５?７,,,054-639-5705,054-644-6531,www.fs-kanna.com,無,驚きと寛ぎの空間を演出したKANNA FLOWER STUDIOで、花のある生活の提案をコンセプトに多くの人々に美しいと感じてもらえる花贈りを提供しています。,KANNA.jpg,34.857759,138.261356
Nanomic&Co. 株式会社ナノミック,〒426-0205,静岡県藤枝市花倉799-1,,,054-638-3250,054-638-2064,http://www.nanomic.jp/pc/,無,自動車ブレーキ部品や自動車電装品、時計をはじめとしたミクロン制度での加工技術による精密換物部品を制作しております。,,34.905288,138.232309
Nanomic Cars 株式会社ナノミック,〒426-0205,静岡県藤枝市花倉799-1,,,054-638-3265,054-638-3265,http://nanomic-cars.com,無,国産車から外国車、クラッシック車から新車まで幅広い車種を安価で販売、整備しております。お客様が求めるお車お探し致します。,,34.905288,138.232309
株式会社山田組,〒426-8575,藤枝市堀之内1-1-3,,,054-641-0618,054-644-4715,http://www.yd-g.co.jp,無,人と共に、自然と共に。,yamada.jpg,34.870056,138.229214
Calme et compose,〒426-0062,藤枝市高岡2丁目高岡２丁目3-1,10:00～20:00,不定休,054-634-0074,,https://beauty.hotpepper.jp/kr/slnH000390194/,無,高機能エイジング化粧品を使用したエイジングケアエステ?見た目の美しさだけでなく心の癒しも重要視した落ち着くサロンです。,calme.jpg,34.839036,138.256192
共同メディア有限会社,〒452-0011,愛知県清洲市西枇杷島町城並1-8-3,,,052-506-9600,052-506-9602,http://www.iryou-map.co.jp,無,"「医療MAP」「介護マップ」「子育て支援まっぷ」「介護べんり帳」で地域社会に貢献する
　  ",,35.204246,136.869936
藤枝 あおいそら。,〒426-5993,藤枝市駅前１丁目5-22,17：00～0：00,火曜定休,054-643-5993,,,無,『秋の空も・・・・・・』,,34.854338,138.254843
居酒屋　Go-Bowごぼう,〒426-0034,藤枝市駅前2-7-25,18:00～25:00(L.O. 24:00),火曜日,054-645-1539,,http://shizuoka.j47.jp/go-bow/,無,"みんなで楽しくワイワイと、美味しい時間を当店で！
駿河湾のお刺身や元祖･トマト巻､GO-BOW巻など。
大小宴会､誕生会､歓送迎会､結婚式２次会などにもご利用ください。",,34.851465,138.251264
島田眼科クリニック,〒427-0028,島田市栄町4-19,午前8：30～12：00 午後3:00～6:00,毎週水曜日、日曜日、祝日、お盆、年末年始,0547-37-0431,0547-37-0331,http://shimadagannka.com/,無,予約は、お電話にて受け付けております。,,34.830857,138.175088
株式会社　藤枝事務器商会,〒426-0027,藤枝市緑町２丁目2-8,,,054-641-0722,054-643-8189,http://f-jimuki.co.jp/,無,,,34.865205,138.265695
株式会社　Sense of Fun,,牧之原市静波1103-2,,,054-634-0073,054-631-7806,http://www.sense-of-fun.co.jp/,無,美容と介護に新しい風を。,,34.736899,138.224244
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
　,,,,,,,,,,,,
